Parasites,predation,tank,week,JulianDate,host.density.L-1,infected.host.density.L-1,Prevalence
1,0.1,1,-1,171,10.5,0,0
1,0.1,1,1,182,56,0,0
1,0.1,1,2,189,32,1,0.03125
1,0.1,1,3,196,33.5,2,0.059701492537314
1,0.1,1,4,203,44,1.5,0.034090909090909
1,0.1,1,5,210,47.5,10.5,0.221052631578947
1,0.1,1,6,217,40.5,2.5,0.061728395061728
1,0.1,1,7,224,1.5,0,0
1,0.1,1,8,231,0,0,0
0,0.1,2,-1,171,10.5,0,0
0,0.1,2,1,182,76,0,0
0,0.1,2,2,189,33,0,0
0,0.1,2,3,196,36.5,0,0
0,0.1,2,4,203,37,0,0
0,0.1,2,5,210,58,0,0
0,0.1,2,6,217,62.5,0,0
0,0.1,2,7,224,54,0,0
0,0.1,2,8,231,52,0,0
0,0.1,3,-1,171,10.5,0,0
0,0.1,3,1,182,59,0,0
0,0.1,3,2,189,38,0,0
0,0.1,3,3,196,45.5,0,0
0,0.1,3,4,203,12,0,0
0,0.1,3,5,210,4,0,0
0,0.1,3,6,217,45,0,0
0,0.1,3,7,224,53.5,0,0
0,0.1,3,8,231,22,0,0
0,1,4,-1,171,10.5,0,0
0,1,4,1,182,55,0,0
0,1,4,2,189,3,0,0
0,1,4,3,196,0,0,0
0,1,4,4,203,0,0,0
0,1,4,5,210,2.5,0,0
0,1,4,6,217,16.5,0,0
0,1,4,7,224,49,0,0
0,1,4,8,231,27,0,0
0,1,5,-1,171,10.5,0,0
0,1,5,1,182,9,0,0
0,1,5,2,189,1,0,0
0,1,5,3,196,4,0,0
0,1,5,4,203,10,0,0
0,1,5,5,210,119,0,0
0,1,5,6,217,81.5,0,0
0,1,5,7,224,43.5,0,0
0,1,5,8,231,65,0,0
0,1,6,-1,171,10.5,0,0
0,1,6,1,182,91,0,0
0,1,6,2,189,2,0,0
0,1,6,3,196,2,0,0
0,1,6,4,203,4.5,0,0
0,1,6,5,210,6.5,0,0
0,1,6,6,217,34,0,0
0,1,6,7,224,38,0,0
0,1,6,8,231,59,0,0
1,0,7,-1,171,10.5,0,0
1,0,7,1,182,52,0,0
1,0,7,2,189,5,0,0
1,0,7,3,196,67,0,0
1,0,7,4,203,22.5,0,0
1,0,7,5,210,38,4,0.105263157894737
1,0,7,6,217,44,2.5,0.056818181818182
1,0,7,7,224,51,8,0.156862745098039
1,0,7,8,231,34.5,13,0.376811594202899
1,0,8,-1,171,10.5,0,0
1,0,8,1,182,166,0,0
1,0,8,2,189,36,0,0
1,0,8,3,196,56,2,0.035714285714286
1,0,8,4,203,34,2.5,0.073529411764706
1,0,8,5,210,19.5,3.5,0.179487179487179
1,0,8,6,217,34.5,2.5,0.072463768115942
1,0,8,7,224,106.5,19.5,0.183098591549296
1,0,8,8,231,33,26.5,0.803030303030303
1,0,9,-1,171,10.5,0,0
1,0,9,1,182,30,0,0
1,0,9,2,189,50,1,0.02
1,0,9,3,196,25,0,0
1,0,9,4,203,24.5,2.5,0.102040816326531
1,0,9,5,210,14,2.5,0.178571428571429
1,0,9,6,217,39,4,0.102564102564103
1,0,9,7,224,93.5,2,0.021390374331551
1,0,9,8,231,10,1.5,0.15
1,1,10,-1,171,10.5,0,0
1,1,10,1,182,40,0,0
1,1,10,2,189,1,0,0
1,1,10,3,196,0.5,0,0
1,1,10,4,203,0,0,0
1,1,10,5,210,0,0,0
1,1,10,6,217,0,0,0
1,1,10,7,224,0,0,0
1,1,10,8,231,0,0,0
1,1,11,-1,171,10.5,0,0
1,1,11,1,182,6,0,0
